Date,County,State,Vehicle Primary Use,Battery Electric Vehicles (BEVs),Plug-In Hybrid Electric Vehicles (PHEVs),Electric Vehicle (EV) Total,Non-Electric Vehicle Total,Total Vehicles,Percent Electric Vehicles
July 31 2017,Santa Rosa,FL,Passenger,1,0,1,116,117,0.85
February 28 2018,Klickitat,WA,Truck,0,0,0,8030,8030,0.00
May 31 2023,Pierce,WA,Truck,153,0,153,137297,137450,0.11
December 31 2018,Grant,WA,Truck,0,0,0,26253,26253,0.00
May 31 2018,Jefferson,WA,Truck,0,0,0,9531,9531,0.00
April 30 2018,Island,WA,Truck,0,0,0,20838,20838,0.00
September 30 2022,Ferry,WA,Truck,0,0,0,3615,3615,0.00
January 31 2023,Okanogan,WA,Passenger,105,53,158,26118,26276,0.60
October 31 2021,Moore,NC,Passenger,0,1,1,127,128,0.78
June 30 2021,Richland,SC,Passenger,0,1,1,140,141,0.71
January 31 2020,DeKalb,GA,Passenger,1,0,1,86,87,1.15
January 31 2023,Douglas,CO,Passenger,0,1,1,70,71,1.41
September 30 2023,Meade,KY,Passenger,1,0,1,20,21,4.76
August 31 2020,Montgomery,OH,Passenger,0,1,1,47,48,2.08
February 28 2021,New Haven,CT,Passenger,0,2,2,36,38,5.26
March 31 2022,Harrison,MS,Passenger,2,0,2,51,53,3.77
February 28 2019,Marion,IN,Passenger,1,0,1,116,117,0.85
October 31 2020,Ramsey,MN,Passenger,1,0,1,36,37,2.70
April 30 2020,Clallam,WA,Passenger,219,166,385,50335,50720,0.76
October 31 2022,Charles,MD,Passenger,1,1,2,55,57,3.51
November 30 2019,Snohomish,WA,Passenger,3944,1705,5649,535262,540911,1.04
March 31 2018,Skagit,WA,Passenger,173,154,327,89892,90219,0.36
December 31 2023,Wahkiakum,WA,Passenger,32,22,54,3050,3104,1.74
April 30 2022,Pulaski,MO,Passenger,2,0,2,119,121,1.65
August 31 2018,Monterey,CA,Passenger,0,1,1,187,188,0.53
January 31 2020,Howard,MD,Passenger,0,1,1,81,82,1.22
December 31 2023,Snohomish,WA,Truck,281,0,281,119994,120275,0.23
May 31 2022,Cowlitz,WA,Passenger,322,175,497,70651,71148,0.70
February 29 2020,Twin Falls,ID,Passenger,0,1,1,31,32,3.12
December 31 2019,Lake,CA,Passenger,0,1,1,11,12,8.33
April 30 2023,Orange,NC,Passenger,0,1,1,6,7,14.29
February 28 2019,Clark,WA,Truck,0,0,0,79965,79965,0.00
November 30 2018,Fairfax,VA,Passenger,2,2,4,812,816,0.49
September 30 2022,Alexandria,VA,Passenger,4,0,4,101,105,3.81
September 30 2017,Manassas,VA,Passenger,0,1,1,9,10,10.00
April 30 2023,Skagit,WA,Passenger,1052,388,1440,88960,90400,1.59
August 31 2018,Klickitat,WA,Passenger,24,32,56,15280,15336,0.37
November 30 2021,Franklin,WA,Truck,0,0,0,20773,20773,0.00
April 30 2021,Kootenai,ID,Passenger,0,1,1,204,205,0.49
July 31 2018,Benton,WA,Truck,0,0,0,41091,41091,0.00
September 30 2018,Lincoln,WA,Passenger,2,6,8,7749,7757,0.10
February 28 2022,Richland,SC,Passenger,0,2,2,136,138,1.45
July 31 2022,Hamilton,IN,Passenger,1,0,1,22,23,4.35
September 30 2022,Geary,KS,Passenger,1,0,1,79,80,1.25
August 31 2023,Madison,IL,Passenger,2,0,2,16,18,11.11
January 31 2018,Spokane,WA,Truck,1,0,1,91724,91725,0.00
March 31 2017,Douglas,WA,Passenger,29,19,48,26591,26639,0.18
March 31 2023,Anchorage,AK,Passenger,1,0,1,112,113,0.88
April 30 2019,Shasta,CA,Passenger,1,0,1,41,42,2.38
November 30 2021,Palm Beach,FL,Passenger,0,1,1,65,66,1.52
June 30 2018,Klamath,OR,Passenger,1,0,1,36,37,2.70
June 30 2018,San Francisco,CA,Passenger,1,1,2,132,134,1.49
January 31 2020,Eagle,CO,Passenger,1,0,1,6,7,14.29
February 28 2021,Kitsap,WA,Truck,0,0,0,54248,54248,0.00
September 30 2018,Kitsap,WA,Truck,1,0,1,53536,53537,0.00
July 31 2020,Riverside,CA,Passenger,3,1,4,621,625,0.64
October 31 2021,Thurston,WA,Passenger,1798,920,2718,196886,199604,1.36
June 30 2018,Whitman,WA,Passenger,19,28,47,22596,22643,0.21
December 31 2021,Arlington,VA,Passenger,1,0,1,135,136,0.74
July 31 2022,Anchorage,AK,Passenger,2,0,2,134,136,1.47
February 28 2019,Frederick,MD,Passenger,1,1,2,80,82,2.44
November 30 2021,Spartanburg,SC,Passenger,0,1,1,49,50,2.00
November 30 2020,Kittitas,WA,Passenger,125,52,177,29741,29918,0.59
December 31 2021,Clark,NV,Passenger,8,2,10,601,611,1.64
March 31 2019,Multnomah,OR,Passenger,4,5,9,766,775,1.16
December 31 2022,Grant,WA,Truck,4,0,4,28028,28032,0.01
February 28 2022,York,VA,Passenger,1,0,1,94,95,1.05
January 31 2021,Boone,MO,Passenger,0,1,1,12,13,7.69
April 30 2024,Essex,NJ,Passenger,2,1,3,7,10,30.00
June 30 2018,Essex,NJ,Passenger,1,0,1,13,14,7.14
August 31 2021,Kittitas,WA,Truck,0,0,0,14784,14784,0.00
February 29 2020,Kitsap,WA,Truck,1,0,1,54380,54381,0.00
August 31 2020,Garfield,WA,Truck,0,0,0,992,992,0.00
August 31 2018,Clark,NV,Passenger,2,2,4,747,751,0.53
April 30 2022,Wilson,TX,Passenger,0,1,1,3,4,25.00
February 28 2021,Montgomery,TX,Passenger,1,0,1,52,53,1.89
November 30 2019,Valencia,NM,Passenger,1,0,1,7,8,12.50
October 31 2018,Skagit,WA,Passenger,240,180,420,91005,91425,0.46
March 31 2023,Adams,WA,Passenger,23,11,34,13033,13067,0.26
May 31 2020,Sacramento,CA,Passenger,1,1,2,285,287,0.70
May 31 2023,Moore,NC,Passenger,0,1,1,108,109,0.92
July 31 2023,Bartow,GA,Passenger,0,1,1,4,5,20.00
September 30 2022,Richmond,NY,Passenger,1,0,1,4,5,20.00
April 30 2018,Franklin,WA,Passenger,37,59,96,57393,57489,0.17
January 31 2023,Maricopa,AZ,Passenger,10,5,15,851,866,1.73
October 31 2021,Pinellas,FL,Passenger,0,1,1,97,98,1.02
October 31 2018,Monterey,CA,Passenger,0,1,1,192,193,0.52
January 31 2018,Grays Harbor,WA,Truck,0,0,0,20084,20084,0.00
September 30 2020,Putnam,TN,Passenger,0,1,1,2,3,33.33
October 31 2020,Okanogan,WA,Passenger,47,36,83,25980,26063,0.32
September 30 2022,Franklin,WA,Passenger,231,112,343,61841,62184,0.55
March 31 2021,Prince William,VA,Passenger,1,2,3,219,222,1.35
January 31 2021,Pima,AZ,Passenger,2,1,3,342,345,0.87
October 31 2023,Hillsborough,FL,Passenger,2,2,4,98,102,3.92
November 30 2017,Orleans,LA,Passenger,0,1,1,46,47,2.13
April 30 2023,Rockdale,GA,Passenger,1,0,1,5,6,16.67
June 30 2019,Carson City,NV,Passenger,1,0,1,11,12,8.33
May 31 2023,Klickitat,WA,Passenger,144,64,208,15166,15374,1.35
February 28 2017,Asotin,WA,Passenger,4,3,7,12320,12327,0.06
December 31 2020,DeKalb,GA,Passenger,1,0,1,72,73,1.37
June 30 2021,San Bernardino,CA,Passenger,1,0,1,394,395,0.25
April 30 2019,Juneau,AK,Passenger,0,2,2,33,35,5.71
January 31 2019,San Francisco,CA,Passenger,2,1,3,119,122,2.46
February 28 2023,Clallam,WA,Truck,12,0,12,21828,21840,0.05
April 30 2024,Pend Oreille,WA,Truck,3,0,3,5419,5422,0.06
March 31 2018,Jefferson,WA,Truck,0,0,0,9508,9508,0.00
April 30 2020,Wahkiakum,WA,Truck,0,0,0,1759,1759,0.00
September 30 2018,Alameda,CA,Passenger,0,2,2,340,342,0.58
July 31 2018,,,Passenger,3,2,5,438,443,1.13
January 31 2022,Albemarle,VA,Passenger,3,0,3,23,26,11.54
June 30 2020,Camden,NJ,Passenger,0,1,1,22,23,4.35
February 29 2024,Island,WA,Passenger,1343,496,1839,60548,62387,2.95
September 30 2017,Thurston,WA,Truck,0,0,0,53494,53494,0.00
November 30 2020,,,Passenger,5,1,6,374,380,1.58
July 31 2018,Kent,MI,Passenger,0,1,1,28,29,3.45
March 31 2017,Hamilton,TN,Passenger,1,0,1,26,27,3.70
May 31 2023,Parker,TX,Passenger,0,1,1,16,17,5.88
